Gender,Age at diagnosis,Geography code,Geography name ,Total_incidence,Type of rate,Rate,95% lower confidence interval,95% upper confidence interval,breast,bowel,lung,prostate,skin,fid
Persons,All ages,E07000200,Babergh,701,Age-gender-standardised,589.9,546.2,636.1,112,75,75,147,552,190
Persons,All ages,E07000066,Basildon,1028,Age-gender-standardised,602.0,565.5,640.3,135,126,145,149,898,90
Persons,All ages,E06000055,Bedford,1103,Age-gender-standardised,650.7,612.6,690.5,160,119,128,223,724,52
Persons,All ages,E07000067,Braintree,893,Age-gender-standardised,542.6,507.5,579.6,130,113,88,157,824,91
Persons,All ages,E07000143,Breckland,1083,Age-gender-standardised,629.7,592.4,668.9,162,129,129,165,662,163
Persons,All ages,E07000068,Brentwood,443,Age-gender-standardised,556.4,505.4,611.1,74,44,41,79,472,92
Persons,All ages,E07000144,Broadland,952,Age-gender-standardised,568.9,532.8,606.8,125,116,101,138,648,164
Persons,All ages,E07000095,Broxbourne,575,Age-gender-standardised,631.0,580.1,685.1,69,57,52,135,517,119
Persons,All ages,E07000008,Cambridge,641,Age-gender-standardised,642.4,592.4,695.4,100,61,77,106,437,64
Persons,All ages,E07000069,Castle Point,687,Age-gender-standardised,632.0,584.7,682.0,92,83,83,98,651,93
Persons,All ages,E06000056,Central Bedfordshire,1778,Age-gender-standardised,618.9,590.3,648.4,252,196,175,370,1241,53
Persons,All ages,E07000070,Chelmsford,1013,Age-gender-standardised,555.1,521.3,590.5,169,126,109,157,1071,94
Persons,All ages,E07000071,Colchester,1155,Age-gender-standardised,640.9,604.3,679.2,147,134,118,200,827,95
Persons,All ages,E07000096,Dacorum,948,Age-gender-standardised,646.8,606.0,689.6,164,114,98,184,663,120
Persons,All ages,E07000009,East Cambridgeshire,548,Age-gender-standardised,573.9,526.6,624.2,83,73,53,76,441,65
Persons,All ages,E07000242,East Hertfordshire,889,Age-gender-standardised,593.9,555.3,634.5,155,98,78,128,779,224
Persons,All ages,E07000244,East Suffolk,1910,Age-gender-standardised,592.4,565.5,620.2,281,229,199,350,1583,226
Persons,All ages,E07000072,Epping Forest,840,Age-gender-standardised,608.4,567.7,651.2,115,117,95,125,674,96
Persons,All ages,E07000010,Fenland,818,Age-gender-standardised,698.6,651.2,748.5,107,97,100,143,437,66
Persons,All ages,E07000145,Great Yarmouth,797,Age-gender-standardised,680.0,633.2,729.4,107,108,130,106,476,165
Persons,All ages,E07000073,Harlow,480,Age-gender-standardised,634.8,578.2,695.4,61,51,70,79,368,97
Persons,All ages,E07000098,Hertsmere,659,Age-gender-standardised,642.5,594.0,693.9,108,66,69,118,431,121
Persons,All ages,E07000011,Huntingdonshire,1163,Age-gender-standardised,606.8,572.3,642.9,168,144,113,171,875,67
Persons,All ages,E07000202,Ipswich,819,Age-gender-standardised,661.3,616.5,708.4,97,109,110,114,463,191
Persons,All ages,E07000146,King's Lynn and West Norfolk,1125,Age-gender-standardised,578.5,544.7,613.8,165,138,126,174,944,166
Persons,All ages,E06000032,Luton,895,Age-gender-standardised,580.3,542.0,620.6,128,101,112,175,450,30
Persons,All ages,E07000074,Maldon,483,Age-gender-standardised,593.1,540.5,649.4,82,66,47,74,504,98
Persons,All ages,E07000203,Mid Suffolk,788,Age-gender-standardised,615.4,572.6,660.4,112,98,59,155,614,192
Persons,All ages,E07000099,North Hertfordshire,832,Age-gender-standardised,613.2,572.0,656.6,136,93,97,160,587,122
Persons,All ages,E07000147,North Norfolk,911,Age-gender-standardised,576.7,538.1,617.3,143,119,112,148,619,167
Persons,All ages,E07000148,Norwich,653,Age-gender-standardised,563.4,520.6,608.8,109,75,95,72,369,168
Persons,All ages,E06000031,Peterborough,1104,Age-gender-standardised,637.5,600.0,676.7,160,110,122,174,590,29
Persons,All ages,E07000075,Rochford,610,Age-gender-standardised,611.3,563.3,662.4,100,63,77,78,570,99
Persons,All ages,E07000012,South Cambridgeshire,1049,Age-gender-standardised,625.3,587.9,664.5,167,124,101,199,954,68
Persons,All ages,E07000149,South Norfolk,971,Age-gender-standardised,567.4,531.9,604.6,147,119,91,134,698,169
Persons,All ages,E06000033,Southend-on-Sea,1083,Age-gender-standardised,600.1,564.7,637.2,187,137,123,150,863,31
Persons,All ages,E07000240,St Albans,838,Age-gender-standardised,600.4,560.1,642.8,151,83,83,156,638,222
Persons,All ages,E07000243,Stevenage,483,Age-gender-standardised,637.9,581.4,698.2,58,51,64,86,339,225
Persons,All ages,E07000076,Tendring,1388,Age-gender-standardised,677.4,641.2,715.0,169,183,172,250,1003,100
Persons,All ages,E07000102,Three Rivers,620,Age-gender-standardised,688.4,634.9,745.1,118,61,63,130,370,123
Persons,All ages,E06000034,Thurrock,867,Age-gender-standardised,643.2,600.2,688.4,133,103,102,126,611,32
Persons,All ages,E07000077,Uttlesford,609,Age-gender-standardised,621.9,573.2,673.5,132,59,51,115,546,101
Persons,All ages,E07000103,Watford,495,Age-gender-standardised,627.2,571.7,686.5,89,48,57,70,264,124
Persons,All ages,E07000241,Welwyn Hatfield,678,Age-gender-standardised,658.4,609.3,710.3,109,75,75,130,424,223
Persons,All ages,E07000245,West Suffolk,1111,Age-gender-standardised,581.6,547.7,617.0,165,145,118,168,795,227
