LAD24CD,LAD24NM,Population,IMD_25,Ca_Count
E06000031,Peterborough,215670,51,1104
E06000032,Luton,225261,33,895
E06000033,Southend-on-Sea,180685,113,1083
E06000034,Thurrock,175993,114,867
E06000055,Bedford,185224,141,1103
E06000056,Central Bedfordshire,294251,230,1778
E07000008,Cambridge,145674,255,641
E07000009,East Cambridgeshire,87763,242,548
E07000010,Fenland,102461,42,818
E07000011,Huntingdonshire,180832,249,1163
E07000012,South Cambridgeshire,162117,281,1049
E07000066,Basildon,187567,120,1028
E07000067,Braintree,155265,164,893
E07000068,Brentwood,77048,262,443
E07000069,Castle Point,89582,162,687
E07000070,Chelmsford,181523,233,1013
E07000071,Colchester,192716,168,1155
E07000072,Epping Forest,134980,205,840
E07000073,Harlow,93330,92,480
E07000074,Maldon,66211,171,483
E07000075,Rochford,85662,260,610
E07000076,Tendring,148293,28,1388
E07000077,Uttlesford,91344,269,609
E07000095,Broxbourne,99007,152,575
E07000096,Dacorum,155081,211,948
E07000098,Hertsmere,107827,214,659
E07000099,North Hertfordshire,133210,256,832
E07000102,Three Rivers,93772,275,620
E07000103,Watford,102245,175,495
E07000143,Breckland,141477,112,1083
E07000144,Broadland,131723,240,952
E07000145,Great Yarmouth,99750,25,797
E07000146,King's Lynn and West Norfolk,154326,69,1125
E07000147,North Norfolk,102978,89,911
E07000148,Norwich,143924,64,653
E07000149,South Norfolk,141948,220,971
E07000200,Babergh,92342,184,701
E07000202,Ipswich,139643,84,819
E07000203,Mid Suffolk,102701,191,788
E07000240,St Albans,148169,288,838
E07000241,Welwyn Hatfield,119835,208,678
E07000242,East Hertfordshire,150159,276,889
E07000243,Stevenage,89498,125,483
E07000244,East Suffolk,246060,138,1910
E07000245,West Suffolk,179948,172,1111
